Nama Makanan,Bahan Makanan,Bahan Dasar,Kalori,Protein,Lemak,Karbohidrat,Kehalalan,Resep,Harga,Alergi Telur,Alergi Kacang,Alergi Kedelai,Alergi Seafood,Alergi udang,Alergi susu
Babi kecap kentang,"200 gr daging babi (cincang halus)3 buah kentang (potong dadu)
1 buah wortel (potong dadu)
1 sdm kecap manis
1 sdm kecap asin
1 sdm saos tiram
1 sdm gula pasir
3 siung bawang putih
5 siung bawang merah
Garam,lada, kaldu jamur,
Daun bawang","babi, kentang, wortel, kecap manis, kecap asin, saos tiram, gula, bawang putih, bawang merah, Garam, lada, kaldu jamur, Daun bawang",200,19,10,15,0,"Langkah 1
Siapkan wajan dan minyak jika wajan sudah panas masukkan bawang merah dan putih ya yang sudah di potong aduk hingga harum masukkan daging babi yang sudah di cincang aduk2 masukkan wortel tumis -+ semenit setelah itu masukkan kentang aduk rata kembali
Langkah 2
Tambahkan 200ml air dengan kecap asin, kecap manis, saos tiram, lada, garem, gula test rasa jika rasa sudah pas tutup wajan biarkan hingga air menyusut jika sudah mulai menyusut tambahkan potongan daun bawang dan siap di hidangkan",,0,0,1,0,0,0
Babi goreng saus inggris,"300 gr babi paha
1 buah Bawang bombay
5 siung Bawang putih
Bahan sauce
3 sdm kecap manis
3 sdm saus inggris
2 sdm saus tomat
2 sdt gula
1 sdt garam
sedikit Air","babi, Bawang bombay, Bawang putih, kecap manis, saus inggris, saus tomat, gula, garam, Air",250,20,15,5,0,"Langkah 1
Marinasi babi pake kecap asin, lada, sedikit garam
Langkah 2
Lumuri tepung terigu, mix dengan tepung beras dan maizena lalu goreng (2x penggorengan lebih crispy)
Langkah 3
Siapkan bumbu sauce, tumis bombay bawang putih, sauce
Lalu babi goreng.. mix
",,0,0,1,0,0,0
Babi panggang endes,"2 kg daging samcan
secukupnya Sea salt
secukupnya Garam meja
secukupnya Merica hitam
50 gr Daun rosemary segar
55 gr adas manis bubuk (fennel powder)
10 sdm cuka
Bahan Sambal
3 siung bawang putih
20 buah Cabai setan (atau sesuai selera)
8 buah cabai merah keriting
3 buah cabai hijau besar
1 sdm gula jawa halus
secukupnya Garam meja
secukupnya Kaldu bubuk rasa ayam
Minyak goreng untuk menumis","daging samcan, Garam, Merica, Daun rosemary, bubuk fennel, cuka, bawang putih, Cabai setan, cabai merah keriting, cabai hijau, gula jawa, Kaldu bubuk rasa ayam, Minyak goreng",200,20,15,5,0,"Langkah 1
Ambil daging samcan. Kemudian taburi bagian dagingnya dengan sea salt. Tips: sea saltnya tidak usah terlalu banyak supaya tidak keasinan.
Langkah 2
Daun rosemary segar dilepas dari batangnya. Kemudian blender daun rosemary sampai agak lembut. Balurkan daun rosemary ke bagian daging yang tadi sudah ditaburi sea salt.
Langkah 3
Taburkan adas manis ke daging tadi sampai permukaan daging tertutup. Kemudian taburi merica hitam sedikit saja.
Langkah 4
Balik posisi daging samcan, sehingga posisi kulit berada di bagian atas.
Langkah 5
Lap bagian kulit dengan tissue hingga kering. Setelah itu buat larutan cuka (10 sdm) + garam (2 sdt). Oleskan larutan cuka ke permukaan kulit yang sudah kering.
Langkah 6
Taburi bagian kulit yg sudah diolesi larutan cuka dengan garam dapur sesuai selera.
Langkah 7
Masukkan samcan ke dalam wadah dan simpan di lemari es setidaknya selama 6 jam.
Langkah 8
Keluarkan samcan yg sudah dimarinated dan tempatkan di wadah alumunium foil. Letakkan posisi kulit di sebelah atas.
Langkah 9
Panaskan oven selama kurang lebih 10 menit dengan suhu 180 derajat Celcius. Jika oven memiliki api atas dan bawah, cukup gunakan api bawah terlebih dahulu.
Langkah 10
Masukkan daging yg sudah dibungkus alumunium foil ke falam oven. Panggang selama kurang lebih 120 menit.
Langkah 11
Jika oven memiliki api atas dan bawah, hidupkan api atas selama 15 menit terakhir utk mematangkan bagian kulit.
Babi panggang endes langkah memasak 11 foto
Langkah 12
Cara membuat sambal:
Potong-potong cabai dan bawang. Panaskan minyak goreng kemudian masukkan potongan cabai dan bawang.
Langkah 13
Jika cabai dan bawang sudah terlihat sedikit layu, angkat dan pindahkan ke cobek / blender.
Langkah 14
Haluskan cabai dan bawang. Tambahkan garam dan kaldu secukupnya.
Langkah 15
Terakhir tambahkan gula jawa halus.",,0,0,0,0,0,0
Babi Orak Arik,"350 gr babi paha
Bawang merah cincang
Bawang putih cincang
Bawang bombay cincang","babi, Bawang merah, Bawang putih, Bawang bombay",250,15,10,15,0,"Langkah 1
Goreng babi supaya lebih kering, tiriskan
Babi Orak Arik langkah memasak 1 foto
Langkah 2
Tiriskan sebagian minyak goreng babi uraikan, masukkan bawang bawangan
Babi Orak Arik langkah memasak 2 foto
Langkah 3
Tambahi saus tiram, kecap dark soy sauce, garam, merica, arak masak sedikit (optional), daun bawang
Babi Orak Arik langkah memasak 3 foto
Langkah 4
Sajikan dengan nasi hangat, abon babi, telur setengah matang
Babi Orak Arik langkah memasak 4 foto",,0,0,0,0,0,0
Babi kecap Tauco,"1/2 kg daging samcan
3 lbr daun salam
1 bh bunga lawang
1/3 btg kayu manis
8 siung bawang merah di iris halus
6 siung bawang putih di cacah kasar
2 SDM tauco asin
3 SDM angciu
2 SDM kecap asin jamur
1 SDM kecap manis
1 SDM kecap ikan
1 SDM kecap asin angsa
1/2 potong gula Jawa
1 sdt jahe bubuk
1 sdt merica bubuk
1 sdt kaldu jamu","/, daging, samcan, lbr, daun, salam, bunga, lawang, /, btg, kayu, manis, bawang, merah, di, bawang, putih, di, cacah, kasar, tauco, asin, angciu, kecap, asin, jamur, kecap, manis, kecap, ikan, kecap, asin, angsa, /, gula, Jawa, jahe, bubuk, merica, bubuk, kaldu, jamu",300,20,15,20,0,"Langkah 1
Siapkan bahan bahan iris
Babi kecap Tauco langkah memasak 1 foto
Babi kecap Tauco langkah memasak 1 foto
Langkah 2
Tumis daun salam, kembang Lawang dan kayu manis...tunggu hingga wangi masukan bawang merah, bawang putih.. masak hingga layu
Langkah 3
Tambahkan 1 gelas air, masukan, jahe bubuk, merica dan babi yg sudah di potong potong...aduk aduk hingga bumbu merata, tambahkan angciu dan tauco
Babi kecap Tauco langkah memasak 3 foto
Langkah 4
Masukan semua jenis kecap dan aduk hingga rata, tambahkan air tunggu hingga daging empuk
Babi kecap Tauco langkah memasak 4 foto
Langkah 5
Koreksi rasa dan hidangkan
Babi kecap Tauco langkah memasak 5 foto",,0,0,1,1,0,0
Cah siomak lapcheong,"1 ikat siomak
1 sdt bawang putih
1 buah sosis babi
Minyak
Garam
Gula
Merica","ikat, siomak, bawang, putih, sosis, babi, Minyak, Garam, Gula, Merica",200,10,10,15,0,"Langkah 1
Potong siomak lalu cuci bersih
Cah siomak lapcheong langkah memasak 1 foto
Langkah 2
Iris tipis lapcheong, tumis dengan bawang putih sampai harum lalu angkat
Cah siomak lapcheong langkah memasak 2 foto
Langkah 3
Masukkan siomak beri garam merica dan gula. Masak sebentar lalu angkat
Cah siomak lapcheong langkah memasak 3 foto
Langkah 4
Beri taburan bawang putih dan lapcheong
Cah siomak lapcheong langkah memasak 4 foto",,0,0,0,0,0,0
Pork Belly Cabai Garam,"150 gr pork belly
75 gr bawang merah utuh
2 siung bawang putih slice
2 sdm tepung terigu
2 cm jahe parut
4 Cabai rawit
1 sdm saus tiram
Kaldu jamur
Lada","pork, belly, bawang, merah, utuh, bawang, putih, slice, tepung, terigu, cm, jahe, parut, Cabai, rawit, saus, tiram, Kaldu, jamur, Lada",400,15,35,5,0,"Langkah 1
Lumuri pork belly dengan tepung terigu, tumis dengan sedikit minyak.
Terus aduk sampai pork belly mengecil, angkat
Langkah 2
Masukan bawang merah utuh, setelah matang masukan bawang putih. Lalu masukan pork belly, jahe, Cabai.
Langkah 3
Masukan lada, kaldu jamur dan saus tiram. Aduk2 sebentar.",,0,0,0,0,0,0
Ayam B2 Tahu bumbu bali,"250 gr ayam fillet
100 gr daging babi
2 bh tahu
Bumbu halus:
10 siung bawang merah
5 siung bawang putih
4 btr kemiri sangrai
1 ruas jari jahe
1 ruas jari kunyit
7 bh cabai merah keriting
5 bh Cabai rawit
Bumbu cemplung:
1 btg serai geprek
3 lbr daun jeruk
Secukupnya gula merah
Secukupnya terasi
Secukupnya gula pasir, kaldu bubuk
secukupnya Air putih
secukupnya Minyak goreng
2 sdm air asa","ayam, daging, babi, tahu, Bumbu, halus:, bawang, merah, bawang, putih, btr, kemiri, sangrai, jari, jahe, jari, kunyit, cabai, merah, keriting, Cabai, rawit, Bumbu, cemplung:, btg, serai, geprek, lbr, daun, jeruk, gula, merah, terasi, gula, pasir,, kaldu, bubuk, Air, putih, Minyak, goreng, air, asa",300,20,15,15,0,"Langkah 1
Cuci bersih daging ayam dan daging babi, potong sesuai selera (me: iris tipis kecil)
Ayam B2 Tahu bumbu bali langkah memasak 1 foto
Langkah 2
Siapkan bumbu2 lainnya.
Ayam B2 Tahu bumbu bali langkah memasak 2 foto
Ayam B2 Tahu bumbu bali langkah memasak 2 foto
Ayam B2 Tahu bumbu bali langkah memasak 2 foto
Langkah 3
Potong tahu sesuai selera, goreng sampai berkulit, sisihkan.
Ayam B2 Tahu bumbu bali langkah memasak 3 foto
Langkah 4
Tumis bumbu halus sampai harum, masukkan serai dan daun jeruk. Tumis hingga bumbu matang.
Ayam B2 Tahu bumbu bali langkah memasak 4 foto
Langkah 5
Masukkan terasi, gula merah, air asam lalu tambahkan sedikit air.
Masukkan daging, tunggu sampai daging berubah warna lalu masukkan garam,gula pasir, aduk2 kembal, test rasa.
Langkah 6
Masukkan tahu, masak hingga air mengental dan agak menyusut.
Langkah 7
Matikan kompor, tuang ke dalam wadah..siap disantap dengan nasi hangat.",,0,0,1,0,0,0
Tim telur topping babi cincang,"3 butir telur, kocok lepas dan saring
200 ml air mineral
bumbu : garam, merica, royco ayam
topping babi cincang
100 gr babi cincang (boleh diganti ayam/sapi)
2 siung bawang putih, rajang halus
4 butir bawang merah, rajang halus
1 sdm saus tiram
1 sdm kecap manis
1 sdt kecap asin
sedikit minyak goreng untuk menumis","telur,, kocok, lepas, dan, saring, ml, air, mineral, bumbu, :, garam,, merica,, royco, ayam, topping, babi, cincang, babi, cincang, (boleh, diganti, ayam/sapi), bawang, putih,, rajang, bawang, merah,, rajang, saus, tiram, kecap, manis, kecap, asin, minyak, goreng, untuk, menumis",300,15,20,10,0,"Langkah 1
Tim telur yang sudah disaring dan diberi air + bumbu. selama kurang lebih 25 menit. setelah matang sisihkan
Langkah 2
Untuk topping : tumis duo bawang hingga harum. masukkan daging babi cincang (boleh diganti ayam/sapi)
Langkah 3
Aduk hingga berubah warna
Langkah 4
Masukkan semua bumbu. test rasa
Langkah 5
Jika sudah matang, taburkan diatas tim telur beserta minyaknya agar lebih gurih",,1,0,1,0,0,0
Babi kecap simple,"1/4 kg babi
Bahan yang dihaluskan:
4 siung bawang putih
1/2 ruas jahe
1 sdm ketumbar
Bahan pelengkap :
1 ruas jahe (digeprek)
2 daun salam
9 buah cabe rawit utuh
secukupnya Kecap manis
1 sdm saus sambel
1 sdt garam
1 sdt gula pasir
1 sdt kaldu jamur
secukupnya Merica bubuk
Minyak goreng
secukupnya Air","/, babi, Bahan, yang, dihaluskan:, bawang, putih, /, jahe, ketumbar, Bahan, pelengkap, :, jahe, (digeprek), daun, salam, cabe, rawit, utuh, Kecap, manis, saus, sambel, garam, gula, pasir, kaldu, jamur, Merica, bubuk, Minyak, goreng, Air",250,15,10,20,0,"Langkah 1
Cuci daging babi lalu potong2 sesuai selera,lalu haluskan bumbu
Babi kecap simple langkah memasak 1 foto
Babi kecap simple langkah memasak 1 foto
Babi kecap simple langkah memasak 1 foto
Langkah 2
Panaskan minyak goreng lalu tumis bumbu halus,masukan jahe geprek dan daun salam lalu aduk sampai wangi masukan daging babi aduk kembali biarkan daging sampai berwarna putih lalu tambahkan air sampai daging tenggelam
Babi kecap simple langkah memasak 2 foto
Babi kecap simple langkah memasak 2 foto
Babi kecap simple langkah memasak 2 foto
Langkah 3
Masukan garam,gula,merica,kaldu jamur dan saus sambal aduk rata sampai air mendidih lalu masukan kecap manis,jika ingin pedas tambahkan cabe rawit aduk kembali sambil biarkan mendidih dan ditest rasa
Babi kecap simple langkah memasak 3 foto
Babi kecap simple langkah memasak 3 foto
Langkah 4
Jika air sudah sedikit menyusut,daging sudah matang dan rasa sudah pas,babi kecap siap dihidangkan.selamat mencoba",,0,0,1,0,0,0
