Nama Makanan,Bahan Makanan,Bahan Dasar,Kalori,Protein,Lemak,Karbohidrat,Kehalalan,Alergi,Resep,Harga,Bahan Dasar
Orak arik telur buncis,1/4 kg buncis--2 telor ayam kocok lepas--2 siung bawang putih--5 buah cabe rawit--,"/, buncis, telor, ayam, kocok, lepas, bawang, putih, cabe, rawit",245,12,10,15,halal,telur,"Potong buncis kecil kecil, Cuci buncis lalu tiriskan--Iris tipis bawang putih--Panaskan Minyak lalu masukan irisan bawang putih pada wajan tunggu hingga harum--Masukan telur yg telah di kocok, orak arik hingga jadi berbutir--Masukan buncis dan 5 buah cabe rawit utuh tanpa di iris.--Bumbui dengan garam dan penyedap rasa, masak hingga matang--Orak arik telur buncis siap di sajikan.--",Rp 10.000,"/, buncis, telor, ayam, kocok, lepas, bawang, putih, cabe, rawit"
Nasi goreng telur,Semangkuk kecil nasi putih--Telur--Selada--Saos--Minyak goreng--Garam--Kecap manis--Bumbu :--2 buah cabe merah besar--3 siung bawang putih--3 siung bawang merah--,"Semangkuk, kecil, nasi, putihTelurSeladaSaosMinyak, gorengGaramKecap, manisBumbu, :, cabe, merah, bawang, putih, bawang, merah",350,10,15,45,halal,telur,"Potong potong semua bumbu...--Panaskan sedikit minyak,,tumis bawang merah terlbh dahulu,,setelah agak layu dan harum,masukkan bawang putih dan cabe,tumis hingga harum..--Masukkan nasi putih,aduk hingga bumbu rata,tambahkan garam dan kecap manis..--Menunggu nasinya lbh meresap,dadar 1 butir telur dengan teflon,tuang dengan cara melebar ya,sampai keseluruh permukaan teflon,dengan api kecil,balik secara perlahan biar nggak pecah..--Setelah nasi matang,,dan telur juga sudah siap,,tuang beberapa sendok nasi ke atas telur,,balut,kemudian tambah kan potongan tomat,saus dan selada sesuai selera..--Selesai,,Alhamdulillah anak saya suka,padahal itu menu nya setiap hari,tapi jadi lbh selera..--",Rp 11.000,"Semangkuk, kecil, nasi, putihTelurSeladaSaosMinyak, gorengGaramKecap, manisBumbu, :, cabe, merah, bawang, putih, bawang, merah"
Telur ceplok kecap,1 butir telur--2 siung bawang putih iris tipis--1 siung bawang merah iris tipis--1/2 cabe merah besar iris tipis--sesuai selera Cabe rawit--1 batang daun bawang iris--secukupnya Kubis/kol--Kecap manis--Saos tiram--Garam--Merica--Minyak goreng--,"telur, bawang, putih, bawang, merah, /, cabe, merah, tipissesuai, selera, Cabe, rawit, batang, daun, bawang, irissecukupnya, Kubis/kolKecap, manisSaos, tiramGaramMericaMinyak, goreng",155,13,11,2,halal,telur,"Buat telur ceplok terlebih dahulu dengan dibumbui sedikit garam dan potongan bawang putih. Sisihkan--Tumis bawang putih dan bawang merah hingga harum, masukkan cabe kemudian tambahkan kecap manis, saos tiram, merica (bisa ditambahkan garam).--Masukkan kubis/kol, aduk rata (tanpa diberi air ya).--Masukkan telur ceplok, masak hingga bumbu meresap ke telur dan kubis matang (atau bisa juga setengah matang jadi masih renyah kubisnya).--Siapkan nasi putih, langsung tuang telur beserta kubis dan bumbu ke atas nasi.--Sajikan.--Sedappnyaa siap menghadapai hari dengan ceria setelah sarapan----",Rp 4.000,"telur, bawang, putih, bawang, merah, /, cabe, merah, tipissesuai, selera, Cabe, rawit, batang, daun, bawang, irissecukupnya, Kubis/kolKecap, manisSaos, tiramGaramMericaMinyak, goreng"
Telur gulung sosis,3 butir Telur--2 biji Sosis--secukupnya Royco--,"Telur, biji, Sosissecukupnya, Royco",90,6,6,1,halal,telur,Kocok telur kemudian goreng menggunakan teplon dengan api kecil saja.--Goreng sosis.--Setelah telur matang letakkan sosis kemudian gulung telur.--Dinginkan kemudian potong2 sesuai selera lalu sajikan...--,Rp 8.000,"Telur, biji, Sosissecukupnya, Royco"
"Simple Breakfast (scramble egg, potato wedges, udang, sayuran)","Potato wedges--1 buah kentang, potong 4 atau 6, rebus--Secukupnya tepung bumbu, encerkan--Secukupnya minyak utk menggoreng--Secukupnya garam--Secukupnya lada hitam--Secukupnya oregano--Scramble egg--2 butir telur, kocok lepas--Secukupnya susu cair uht (sy pakai greenfields--Secukupnya margarin utk menggoreng dgn api kecil--Udang goreng tepung--Secukupnya udang kupas, cuci bersih--1 butir telur, kocok lepas utk lumuran--Secukupnya tepung bumbu, utk coating--Sayuran--1 buah wortel potong dadu kecil--1 buah jagung, pipil--Secukupnya brokoli--Secukupnya minyak utk menumis--Secukupnya garam--Secukupnya lada--Cocolan--Secukupnya saus sambal--Secukupnya mayonaise--","Potato, wedges, kentang,, atau, ,, rebusSecukupnya, tepung, bumbu,, encerkanSecukupnya, minyak, utk, menggorengSecukupnya, garamSecukupnya, lada, hitamSecukupnya, oreganoScramble, egg, telur,, kocok, lepasSecukupnya, susu, cair, uht, (sy, pakai, greenfieldsSecukupnya, margarin, utk, menggoreng, dgn, api, kecilUdang, goreng, tepungSecukupnya, udang, kupas,, cuci, bersih, telur,, kocok, lepas, utk, lumuranSecukupnya, tepung, bumbu,, utk, coatingSayuran, wortel, dadu, kecil, jagung,, pipilSecukupnya, brokoliSecukupnya, minyak, utk, menumisSecukupnya, garamSecukupnya, ladaCocolanSecukupnya, saus, sambalSecukupnya, mayonaise",410,18,28,41,halal,"telur, kacang,udang,susu","Kentang yg telah dipotong dan direbus, ditiriskan, lalu masukkan kedalam tepung bumbu yg telah diencerkan, goreng hingga coklat keemasan tiriskan. Lalu taburi garam, lada hitam dan oregano secukupnya.--Telur yg telah dikocok diberi secukupnya susu cair lalu digoreng dengan api kecil dan sedikit margarin. Terus aduk jangan sampai kering. Pertahankan warna agar tetap kuning terang. Setelah diangkat, taburi garam dan lada.--Udang kupas dicelupkan kedalam telur kocok lalu digulirkan kedalam tepung bumbu, goreng dgn api sedamg hingga kuning keemasan. Tiriskan.--Tumis wortel, jagung, dan brokoli hingga layu, taburi secukupnya garam dan lada hitam, koreksi rasa, lalu angkat.--Sajikan semua dlm 1 piring dgn cocolan saus sambal dan mayonaise. Selamat menikmati.--",Rp.20.000,"Potato, wedges, kentang,, atau, ,, rebusSecukupnya, tepung, bumbu,, encerkanSecukupnya, minyak, utk, menggorengSecukupnya, garamSecukupnya, lada, hitamSecukupnya, oreganoScramble, egg, telur,, kocok, lepasSecukupnya, susu, cair, uht, (sy, pakai, greenfieldsSecukupnya, margarin, utk, menggoreng, dgn, api, kecilUdang, goreng, tepungSecukupnya, udang, kupas,, cuci, bersih, telur,, kocok, lepas, utk, lumuranSecukupnya, tepung, bumbu,, utk, coatingSayuran, wortel, dadu, kecil, jagung,, pipilSecukupnya, brokoliSecukupnya, minyak, utk, menumisSecukupnya, garamSecukupnya, ladaCocolanSecukupnya, saus, sambalSecukupnya, mayonaise"
Telur Dadar,2 butir telur ayam--2 butir bawang merah--4 cabe rawit--Lada bubuk--Garam--Bon cabe--Sedikit seledri--2 sendok tepung terigu--,"telur, ayam, bawang, merah, cabe, rawitLada, bubukGaramBon, cabeSedikit, seledri, sendok, tepung, terigu",140,12,9,1,halal,telur,Haluskan bawang merah dan cabe sampai halus--Kocok telur dan campurkan smua bahan--Goreng dengan api kecil di teflon--Siap dihidangkan--,Rp 5.000,"telur, ayam, bawang, merah, cabe, rawitLada, bubukGaramBon, cabeSedikit, seledri, sendok, tepung, terigu"
Cheese Egg Bread Toast,2 lembar roti tawar--1/⁴  Keju quick melt--1 buah telur ayam--1/² potong  bawang bombay--Daun bawang--Seledri--Bisa ditambah bakso/sosis--Tomat--Mentega--1 sdm gula pasir--Lada--Saos sambal--,"lembar, roti, tawar, /⁴, Keju, quick, melt, telur, ayam, /², bawang, bombayDaun, bawangSeledriBisa, ditambah, bakso/sosisTomatMentega, gula, pasirLadaSaos, sambal",300,15,15,25,halal,telur,"Kocok telur, lalu masukkan parutan keju, irisan bawang bombay, daun bawang, seledri, tomat, bakso/sosis ke dalam telur--Potong roti menjadi segitiga--Panaskan teflon, beri mentega sedikit--Celupkan roti ke dalam kocokan telur, lalu panggang hingga matang--Sajikan dengan saos sambal--",Rp 12.000,"lembar, roti, tawar, /⁴, Keju, quick, melt, telur, ayam, /², bawang, bombayDaun, bawangSeledriBisa, ditambah, bakso/sosisTomatMentega, gula, pasirLadaSaos, sambal"
Maklor [makaroni+telor],500 grm Makaronia--3 butir Telur--5 siung Bawang merah--3 siung Bawang putih--sesuai selera Merica Bubuk--2 batang Daun bawang--sesuai selera Garam--secukupnya Kaldu bubuk(sya pake magiz lezat)--2 biji Otak otak atau sosis Iris sesuai selera--secukupnya Minyak sayur--,"grm, Makaronia, Telur, Bawang, merah, Bawang, putihsesuai, selera, Merica, Bubuk, batang, Daun, bawangsesuai, selera, Garamsecukupnya, Kaldu, bubuk(sya, pake, magiz, lezat), biji, Otak, otak, atau, sosis, sesuai, selerasecukupnya, Minyak, sayur",350,15,10,50,halal,telur,"Terlebih dahulu didihkan air untuk merebus makaroni sekitar 5-6 menit ya sya lupa gk liat jam.Sambil nunggu matang kita iris semua bahan bahan diatas tadi seperti bawang merah bawang putih dan daun bawang,digambar sya tambahkan irisan cabai ya krn yg makan orng dewasa dn msih sya tmbah kan saos sambal...hehehehe--Angkat makaroni yg sudah matang dan tiriskan.setelah itu siapkan mangkuk besar dan sendok atau garpu msuk kan smua bahan diatas ke dalam mangkuk beserta telur dan makaroni yg sudah tiris tersebut, kocok jdi satu.--Setelah semua tercampur, siapkan wajan atau teflon besar diberi minyak dan nyalakan api, setelah minyak agak panas msuk kan smuanya terus aduk"" atau orak arik hingga matang dan siap dihidangkan.--Dan...taraaaaaa....sudah siap disantap...yummmiiiii. Selamat mencoba--",Rp. 9.000,"grm, Makaronia, Telur, Bawang, merah, Bawang, putihsesuai, selera, Merica, Bubuk, batang, Daun, bawangsesuai, selera, Garamsecukupnya, Kaldu, bubuk(sya, pake, magiz, lezat), biji, Otak, otak, atau, sosis, sesuai, selerasecukupnya, Minyak, sayur"
Sandwich Telur,--1 butir telur--1 sdm mentega--Secukupnya merica bubuk--Secukupnya garam--2 lembar roti tawar (saya pakai roti tawar Mr. Bread)--** Bahan Pelengkap :--3 potong irisan timun--3 potong irisan tomat--Secukupnya mayonnaise--Secukupnya saus sambal--1 mangkok salad hokben (bisa diskip)--,"telur, mentegaSecukupnya, merica, bubukSecukupnya, garam, lembar, roti, tawar, (saya, pakai, roti, tawar, Mr., Bread)**, Bahan, Pelengkap, :, irisan, timun, irisan, tomatSecukupnya, mayonnaiseSecukupnya, saus, sambal, mangkok, salad, hokben, (bisa, diskip)",250,15,10,20,halal,telur,"Panaskan mentega hingga cair. Sambil menunggu, kocok telur bersama merica bubuk dan garam.--Goreng telur hingga matang dengan menggunakan mentega.--Plating. Tata sandwich dengan urutan roti, dadar telur, timun, tomat, saus dan mayonnaise, tutup lagi dengan roti. Jika suka tambahkan salad hokben.--",Rp. 8.000,"telur, mentegaSecukupnya, merica, bubukSecukupnya, garam, lembar, roti, tawar, (saya, pakai, roti, tawar, Mr., Bread)**, Bahan, Pelengkap, :, irisan, timun, irisan, tomatSecukupnya, mayonnaiseSecukupnya, saus, sambal, mangkok, salad, hokben, (bisa, diskip)"
Omelet telur,2 butir telur ayam--1 Batang daun bawang--1/2 buah tomat merah hilangkan bijinya--1 siung bawang merah--1 siung bawah putih--,"telur, ayam, Batang, daun, bawang, /, tomat, merah, hilangkan, bijinya, bawang, merah, bawah, putih",150,10,10,1,halal,telur,"Iris iris bawang merah, putih, daun bawang dan tomat--Campurkan dengan telur yang sudah dikocok lepas. Tambahkan garam--Goreng di wajan dengan sedikit minyak dan api sedang cenderung kecil. Balik omelet agar matangnya merata--Siap dihidangkan--",Rp. 7.000,"telur, ayam, Batang, daun, bawang, /, tomat, merah, hilangkan, bijinya, bawang, merah, bawah, putih"
Ayam Geprek,"250 gr daging ayam (saya pakai fillet)--Secukupnya gula dan garam--50-100 gr tepung ayam serbaguna--Secukupnya lalapan (kemangi,kol,timun)--Secukupnya minyak panas--❤sambal korek--Secukupnya cabe rawit merah dan bwg putih--","daging, ayam, (saya, pakai, fillet)Secukupnya, gula, dan, garam, -, tepung, ayam, serbagunaSecukupnya, lalapan, (kemangi,kol,timun)Secukupnya, minyak, panas❤sambal, korekSecukupnya, cabe, rawit, merah, dan, bwg, putih",300,25,15,20,halal,-,"Goreng ayam seperti ayam krispi--Ulek semua bahan sambal kemudian campur dengan minyak panas bekas goreng ayam--Geprek ayam kemudian campur dengan sambal,sajikan dengan lalapan --",Rp. 10.000,"daging, ayam, (saya, pakai, fillet)Secukupnya, gula, dan, garam, -, tepung, ayam, serbagunaSecukupnya, lalapan, (kemangi,kol,timun)Secukupnya, minyak, panas❤sambal, korekSecukupnya, cabe, rawit, merah, dan, bwg, putih"
Ayam Goreng,1 ekor ayam (cuci dan rebus sebentar untuk ngurangin lemaknya)--Bumbu :--5 siung bawang putih (geprek)--3 siung bawang merah (geprek)--1 ruas kunyit (geprek)--1/2 sdm ketumbar bubuk--2 lembar daun salam--1 lembar daun jeruk--1 batang serai (geprek)--secukupnya garam--,"ayam, (cuci, dan, rebus, sebentar, untuk, ngurangin, lemaknya)Bumbu, :, bawang, putih, (geprek), bawang, merah, (geprek), kunyit, (geprek), /, ketumbar, bubuk, lembar, daun, salam, lembar, daun, jeruk, batang, serai, (geprek)secukupnya, garam",250,20,15,3,halal,-,"Siapkan sedikit air dalam panci, didihkan--Jika sudah mendidih masukkan semua bumbu bawang putih, bawang merah, kunyit, ketumbar, daun salam, daun jeruk, serai--Masukkan ayam, tambahkan garam, tes rasa, jika dirasa kurang garam bisa di tambahkan sesuai selera, lalu diamkan beberapa menit hingga air menyusut dan bumbu meresap, angkat dan sisihkan ayam dalam wadah kosong (Dinginkan)--Panaskan wajan dan minyak goreng, goreng ayam satu persatu hingga warna menjadi kuning kecoklatan, sajikan--",Rp. 10.000,"ayam, (cuci, dan, rebus, sebentar, untuk, ngurangin, lemaknya)Bumbu, :, bawang, putih, (geprek), bawang, merah, (geprek), kunyit, (geprek), /, ketumbar, bubuk, lembar, daun, salam, lembar, daun, jeruk, batang, serai, (geprek)secukupnya, garam"
Ayam Krispy Sambal Matah,"2 buah paha atas ayam--1 sachet tepung bumbu merek apa saja ukuran sedang--1 butir telur ayam--1 buah jeruk nipis--secukupnya Garam, merica, penyedap--Bahan sambal matah :--10 buah bawang merah--2 buah cabe rawit (atau sesuai selera)--1/2 sdt terasi--2 sdm minyak goreng--1 buah jeruk nipis--secukupnya Garam, gula, penyedap--","atas, ayam, sachet, tepung, bumbu, merek, apa, saja, telur, ayam, jeruk, nipissecukupnya, Garam,, merica,, penyedapBahan, sambal, matah, :, bawang, merah, cabe, rawit, (atau, sesuai, selera), /, terasi, minyak, goreng, jeruk, nipissecukupnya, Garam,, gula,, penyedap",400,30,20,20,halal,telur,"Iris sebanyak 2 irisan pada bagian daging paha atas ayam (agar bagian dalam ayam cepat matang), kemudian taburkan garam, merica, penyedap secukupnya, peraskan jeruk sambil aduk2, diamkan sebentar..--Sambil menunggu kupas dan potong2 bawang merah, cabe rawit, kemudian masukkan ke mangkok kecil, lalu tabur sejumput kecil garam, gula, penyedap pada potongan bawang merah--Panaskan minyak,masukkan terasi, sambil aduk2 sampe minyak terasa sudah panas, kemudian tuang keatas potongan bawang, lalu segera diaduk2. Peraskan jeruk nipis. Sambal matah sudah jadi, sisihkan..--Siapkan telur dan tepung bumbu di wadah yang berbeda. Panaskan minyak untuk mengoreng di wajan.--Ambil ayam, celupkan ke telur sampai merata, lalu pindah celupkan di tepung sampai merata, lalu ulang sekali lagi celup ke telur dn tepung, kemudian masukkan ke penggorengan.--Goreng dengan api kecil, jangan tll besar, agar di dalam matang terlebih dlu. Waktu memasak ayam krispy kurang lebih 20-30menit dg api kecil agar matang sampai kedalam.--Setelah matang, angkat, siapkan di piring lalu taburkan sambal matah. Bon apetite!--",Rp. 20.000,"atas, ayam, sachet, tepung, bumbu, merek, apa, saja, telur, ayam, jeruk, nipissecukupnya, Garam,, merica,, penyedapBahan, sambal, matah, :, bawang, merah, cabe, rawit, (atau, sesuai, selera), /, terasi, minyak, goreng, jeruk, nipissecukupnya, Garam,, gula,, penyedap"
Ayam teriyaki,400 gr ayam fillet potong--3 siung bawang putih cincang halus--1 bawang bombay potong memanjang--1 sdt gula pasir--1 sdt garam--1/2 sdt kaldu jamur--1/2 sdt lada bubuk--1 sdm mentega untuk menumis--1 sdm wijen sangrai untuk taburan--1 sdm maizena + air--Bahan rendaman--4 sdm saus teriyaki--3 sdm kecap manis--3 sdm saus tiram--1 sdm kecap asin kikoman--1 sdm kecap asin angsa--1/2 sdt kaldu bubuk--2 cm jahe geprek--1 sdm minyak wijen--,"ayam, bawang, putih, cincang, bawang, bombay, memanjang, gula, pasir, garam, /, kaldu, jamur, /, lada, bubuk, mentega, untuk, menumis, wijen, sangrai, untuk, taburan, maizena, +, airBahan, rendaman, saus, teriyaki, kecap, manis, saus, tiram, kecap, asin, kikoman, kecap, asin, angsa, /, kaldu, bubuk, cm, jahe, geprek, minyak, wijen",300,25,10,20,halal,-,"Rendam ayam dengan bumbu rendaman minimal 30 menit (boleh semalaman) di kulkas.--Tumis mentega masukkan bawang putih lalu masukkan seluruh ayam dan bumbu rendamannya. Masak dengan api besar hingga berubah warna.--Masukkan garam, gula, merica, kaldu bubuk. Aduk rata. Beri sedikit air biarkan mendidih. Cicipi. Kalau mau lebih coklat tambahkan kecap manis.--Masukkan bawang bombay aduk2 hingga bawang layu.--Masak hingga ayam matang. Sajikan di piring dan taburi dengan wijen.--",Rp 40.000,"ayam, bawang, putih, cincang, bawang, bombay, memanjang, gula, pasir, garam, /, kaldu, jamur, /, lada, bubuk, mentega, untuk, menumis, wijen, sangrai, untuk, taburan, maizena, +, airBahan, rendaman, saus, teriyaki, kecap, manis, saus, tiram, kecap, asin, kikoman, kecap, asin, angsa, /, kaldu, bubuk, cm, jahe, geprek, minyak, wijen"
